,date,value
1,1996.1,79.35
2,1996.2,75.78
3,1996.3,86.32
4,1996.4,72.6
5,1996.5,74.86
6,1996.6,83.81
7,1996.7,79.8
8,1996.8,62.41
9,1996.9,85.41
10,1996.10,83.11
11,1996.11,84.21
12,1996.12,89.7
13,1997.1,78.64
14,1997.2,77.42
15,1997.3,89.86
16,1997.4,81.27
17,1997.5,78.68
18,1997.6,89.51
19,1997.7,83.67
20,1997.8,69.8
21,1997.9,91.09
22,1997.10,89.43
23,1997.11,91.04
24,1997.12,92.87
25,1998.1,81.87
26,1998.2,85.36
27,1998.3,92.98
28,1998.4,81.09
29,1998.5,85.64
30,1998.6,91.14
31,1998.7,83.46
32,1998.8,66.37
33,1998.9,93.34
34,1998.10,85.93
35,1998.11,86.81
36,1998.12,93.3
37,1999.1,81.59
38,1999.2,81.77
39,1999.3,91.24
40,1999.4,79.45
41,1999.5,86.99
42,1999.6,96.6
43,1999.7,97.99
44,1999.8,79.13
45,1999.9,103.56
46,1999.10,100.89
47,1999.11,99.4
48,1999.12,111.8
49,2000.1,95.3
50,2000.2,97.77
51,2000.3,116.23
52,2000.4,100.98
53,2000.5,104.07
54,2000.6,114.64
55,2000.7,107.62
56,2000.8,96.12
57,2000.9,123.5
58,2000.10,116.12
59,2000.11,116.86
60,2000.12,128.61
61,2001.1,100.56
62,2001.2,103.05
63,2001.3,119.06
64,2001.4,92.46
65,2001.5,98.75
66,2001.6,111.14
67,2001.7,96.13
68,2001.8,79.72
69,2001.9,102.07
70,2001.10,96.18
71,2001.11,101.26
72,2001.12,109.85
73,2002.1,89.52
74,2002.2,89.27
75,2002.3,104.35
76,2002.4,87.05
77,2002.5,89.33
78,2002.6,102.2
79,2002.7,88.13
80,2002.8,75.68
81,2002.9,99.48
82,2002.10,96.4
83,2002.11,96.16
84,2002.12,101
85,2003.1,89.34
86,2003.2,86.91
87,2003.3,98.9
88,2003.4,85.54
89,2003.5,85.25
90,2003.6,101.14
91,2003.7,91.8
92,2003.8,76.98
93,2003.9,104.33
94,2003.10,99.72
95,2003.11,101.06
96,2003.12,109
97,2004.1,89.88
98,2004.2,92.27
99,2004.3,105.11
100,2004.4,91.5
101,2004.5,92.56
102,2004.6,104.35
103,2004.7,96.21
104,2004.8,79.58
105,2004.9,105.43
106,2004.10,99.18
107,2004.11,99.77
108,2004.12,113.55
109,2005.1,91.65
110,2005.2,90.56
111,2005.3,105.52
112,2005.4,92.18
113,2005.5,91.22
114,2005.6,109.04
115,2005.7,99.26
116,2005.8,83.36
117,2005.9,110.8
118,2005.10,104.95
119,2005.11,107.07
120,2005.12,114.4
121,2006.1,99.16
122,2006.2,99.86
123,2006.3,116.14
124,2006.4,103.48
125,2006.5,103.07
126,2006.6,119.32
127,2006.7,107.94
128,2006.8,90.59
129,2006.9,121.8
130,2006.10,117.11
131,2006.11,113.71
132,2006.12,120.37
133,2007.1,103.93
134,2007.2,104.1
135,2007.3,125.72
136,2007.4,104.7
137,2007.5,108.45
138,2007.6,123.11
139,2007.7,108.89
140,2007.8,94.07
141,2007.9,121.88
142,2007.10,116.81
143,2007.11,115.87
144,2007.12,127.14
145,2008.1,109.45
146,2008.2,105.23
147,2008.3,121.32
148,2008.4,108.78
149,2008.5,103.2
150,2008.6,117.93
151,2008.7,103.76
152,2008.8,89.27
153,2008.9,109.5
154,2008.10,104.02
155,2008.11,100.12
156,2008.12,101.18
157,2009.1,77.38
158,2009.2,75.19
159,2009.3,86.4
160,2009.4,74.13
161,2009.5,74.1
162,2009.6,85.61
163,2009.7,79.9
164,2009.8,65.36
165,2009.9,88.09
166,2009.10,84.6
167,2009.11,88.09
168,2009.12,102.52
169,2010.1,79.28
170,2010.2,78.74
171,2010.3,94.62
172,2010.4,84.66
173,2010.5,85.2
174,2010.6,103.94
175,2010.7,89.87
176,2010.8,78.14
177,2010.9,96.5
178,2010.10,94.68
179,2010.11,101.77
180,2010.12,103.48
181,2011.1,92.57
182,2011.2,89.16
183,2011.3,104.48
184,2011.4,89.45
185,2011.5,93.4
186,2011.6,102.9
187,2011.7,93.77
188,2011.8,77.58
189,2011.9,95.04
190,2011.10,91.77
191,2011.11,93.37
192,2011.12,98.34
193,2012.1,86.44
194,2012.2,85.04
195,2012.3,97.8
